time,order_id,user_id,user_virtual,ticker,side,offset,price,quantity,status,error,duration
2022-05-12 14:23:55 748:090:414,9,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,INIT,NONE,1652336635743506234
2022-05-12 14:23:55 752:785:486,9,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652336635748201306
2022-05-12 14:24:13 238:880:382,9,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,CANCELED,NONE,1652336653234296202
2022-05-12 14:24:13 238:956:378,10,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,INIT,NONE,1652336653234372198
2022-05-12 14:24:13 246:395:017,10,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652336653241810837
2022-05-12 14:24:29 237:458:347,10,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,CANCELED,NONE,1652336669232874167
2022-05-12 14:24:29 237:543:296,11,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,INIT,NONE,1652336669232959116
2022-05-12 14:24:29 240:199:652,11,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652336669235615472
2022-05-12 14:24:34 756:614:096,11,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,CANCELED,NONE,1652336674752029916
2022-05-12 14:24:34 756:689:200,12,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,INIT,NONE,1652336674752105020
2022-05-12 14:24:34 763:324:173,12,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652336674758739993
2022-05-12 14:24:58 307:435:263,12,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,0,0,NONE,NONE,1652336698302851083
2022-05-12 14:24:58 307:515:271,12,0,0,ag2212.SHFE,BUY,CLOSE_TODAY,4758,1,ALL_TRADED,NONE,1652336698302931091
2022-05-12 14:24:58 307:542:043,13,0,0,ag2206.SHFE,SELL,CLOSE_TODAY,0,0,INIT,NONE,1652336698266793659
2022-05-12 14:24:58 307:946:931,13,0,0,ag2206.SHFE,SELL,CLOSE_TODAY,0,0,CANCELED,NONE,1652336698267198547
2022-05-12 14:24:58 308:010:023,14,0,0,ag2206.SHFE,SELL,CLOSE_TODAY,0,0,INIT,NONE,1652336698267261639
2022-05-12 14:24:58 308:495:451,14,0,0,ag2206.SHFE,SELL,CLOSE_TODAY,0,0,NONE,NONE,1652336698267747067
2022-05-12 14:24:58 308:502:136,14,0,0,ag2206.SHFE,SELL,CLOSE_TODAY,4714,1,ALL_TRADED,NONE,1652336698267753752
2022-05-12 14:24:58 748:576:015,15,0,0,ag2212.SHFE,BUY,OPEN,0,0,INIT,NONE,1652336698748576011
2022-05-12 14:24:58 750:031:754,15,0,0,ag2212.SHFE,BUY,OPEN,0,0,NO_TRADE_QUEUEING,NONE,1652336698750031750
2022-05-12 14:25:00 258:294:681,15,0,0,ag2212.SHFE,BUY,OPEN,0,0,CANCELED,NONE,1652336700258294677
2022-05-12 14:25:00 258:365:687,16,0,0,ag2212.SHFE,BUY,OPEN,0,0,INIT,NONE,1652336700258365683
2022-05-12 14:25:00 265:127:432,16,0,0,ag2212.SHFE,BUY,OPEN,0,0,NO_TRADE_QUEUEING,NONE,1652336700265127428
2022-05-12 14:25:03 536:975:208,16,0,0,ag2212.SHFE,BUY,OPEN,0,0,NONE,NONE,1652336703536975204
2022-05-12 14:25:03 536:983:558,16,0,0,ag2212.SHFE,BUY,OPEN,4758,1,ALL_TRADED,NONE,1652336703536983554
2022-05-12 14:25:03 537:088:290,17,0,0,ag2206.SHFE,SELL,OPEN,0,0,INIT,NONE,1652336703496339906
2022-05-12 14:25:03 537:515:188,17,0,0,ag2206.SHFE,SELL,OPEN,0,0,CANCELED,NONE,1652336703496766804
2022-05-12 14:25:03 537:581:820,18,0,0,ag2206.SHFE,SELL,OPEN,0,0,INIT,NONE,1652336703496833436
2022-05-12 14:25:03 538:078:920,18,0,0,ag2206.SHFE,SELL,OPEN,0,0,NONE,NONE,1652336703497330536
2022-05-12 14:25:03 538:084:846,18,0,0,ag2206.SHFE,SELL,OPEN,4715,1,ALL_TRADED,NONE,1652336703497336462
2022-05-12 14:25:03 538:179:356,19,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,INIT,NONE,1652336703538179350
2022-05-12 14:25:03 538:638:058,19,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652336703538638052
2022-05-12 14:25:03 738:698:041,19,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,CANCELED,NONE,1652336703738698035
2022-05-12 14:25:03 738:764:351,20,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,INIT,NONE,1652336703734180171
2022-05-12 14:25:03 748:741:917,20,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,NO_TRADE_QUEUEING,NONE,1652336703744157737
2022-05-12 14:25:05 743:953:335,20,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,0,0,NONE,NONE,1652336705739369155
2022-05-12 14:25:05 743:977:073,20,0,0,ag2212.SHFE,SELL,CLOSE_TODAY,4759,1,ALL_TRADED,NONE,1652336705739392893
2022-05-12 14:25:05 744:070:588,21,0,0,ag2206.SHFE,BUY,CLOSE_TODAY,0,0,INIT,NONE,1652336705703322204
2022-05-12 14:25:05 750:330:561,21,0,0,ag2206.SHFE,BUY,CLOSE_TODAY,0,0,CANCELED,NONE,1652336705709582177
2022-05-12 14:25:05 750:399:167,22,0,0,ag2206.SHFE,BUY,CLOSE_TODAY,0,0,INIT,NONE,1652336705709650783
2022-05-12 14:25:05 758:542:184,22,0,0,ag2206.SHFE,BUY,CLOSE_TODAY,0,0,NONE,NONE,1652336705717793800
