交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,成交额,持仓手/变化,,
2203,4174, , , , , , , ,0,0,2280,0,
2204,4530,4409,4554,4308, , , , ,656,2911.81,2562,18,
2205,4494,4374,4500,4240, , , , ,84031,366631.55,31141,-5474,
2206,4414,4314,4427,4189, , , , ,32452,139532.58,35443,771,
2207,4348,4233,4366,4133, , , , ,10071,43054.04,12215,2638,
2208,4237,4123,4298,4075, , , , ,621,2632.15,470,-95,
2209,4282,4120,4120,4120, , , , ,1,4.12,28,0,
2210,4225, , , , , , , ,0,0,7,0,
2211,4194, , , , , , , ,0,0,1,0,
2212,3997, , , , , , , ,0,0,0,0,
2301,4117, , , , , , , ,0,0,2,0,
2302,3860, , , , , , , ,0,0,1,0,
小计, , , , , , , , ,127832,554766.26,84150 / -2142,,
交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,成交额,持仓手/变化,,
商品名称:燃料油,,,,,,,,,,,,,
2203,3463, , , , , , , ,0,0,20,0,
2204,3415,3293,3527,3232, , , , ,28,92.42,35,-7,
2205,3443,3334,3440,3233, , , , ,441707,1464864.16,324239,-49898,
2206,3402,3250,3387,3170, , , , ,162,530.8,4868,41,
2207,3415,3234,3373,3207, , , , ,26,85.59,1545,5,
2208,3414,3255,3360,3211, , , , ,35,116.38,5248,16,
2209,3391,3280,3360,3196, , , , ,162647,533423.05,97516,1042,
2210,3270,3236,3331,3150, , , , ,2180,7055.8,13071,-1988,
2211,3252,3214,3265,3125, , , , ,2039,6584.18,13566,-1975,
2212,3261,3227,3252,3071, , , , ,2441,7887,10071,-399,
2301,3267,3174,3277,3105, , , , ,2948,9227.16,9295,2518,
2302,3309,3200,3270,3097, , , , ,528,1688.93,1262,503,
小计, , , , , , , , ,614741,2031555.47,480736 / -50142,,
交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,成交额,持仓手/变化,,
商品名称:石油沥青,,,,,,,,,,,,,
2203,3494,3410,3488,3386, , , , ,1262,4315.2,11134,-366,
2204,3514,3428,3516,3406, , , , ,4894,16849.21,6722,-2686,
